0_2486099,15,0,1
1_626601,4,1,1
0_7323875,3,0,1
2_7323875,3,1,0
1_7888383,44,1,1
0_2486100,23,0,1
1_626602,32,1,1
0_7323876,17,0,1
1_7888384,48,1,1
0_2486101,25,0,1
1_626603,44,1,1
0_7323877,23,0,1
0_626603,15,0,1
0_7888384,20,0,1
0_626602,6,0,1
0_7888383,22,0,1
0_626601,4,0,1
0_7888382,4,0,1
0_7888380,2,0,1
1_2486097,2,1,0
0_4420259,2,0,1
1_6926488,2,1,0
0_626599,8,0,1
