competition, planner, domain, pn, steps, time
IPC2002, TLPlan, Depots, pfile1, 11, 20
IPC2002, TLPlan, Depots, pfile2, 15, 10
IPC2002, TLPlan, Depots, pfile3, 32, 20
IPC2002, TLPlan, Depots, pfile4, 30, 10
IPC2002, TLPlan, Depots, pfile5, 69, 10
IPC2002, TLPlan, Depots, pfile6, 77, 30
IPC2002, TLPlan, Depots, pfile7, 21, 10
IPC2002, TLPlan, Depots, pfile8, 33, 10
IPC2002, TLPlan, Depots, pfile9, 60, 30
IPC2002, TLPlan, Depots, pfile10, 28, 10
IPC2002, TLPlan, Depots, pfile11, 51, 20
IPC2002, TLPlan, Depots, pfile12, 73, 20
IPC2002, TLPlan, Depots, pfile13, 25, 20
IPC2002, TLPlan, Depots, pfile14, 34, 10
IPC2002, TLPlan, Depots, pfile15, 69, 20
IPC2002, TLPlan, Depots, pfile16, 28, 10
IPC2002, TLPlan, Depots, pfile17, 25, 10
IPC2002, TLPlan, Depots, pfile18, 69, 30
IPC2002, TLPlan, Depots, pfile19, 44, 20
IPC2002, TLPlan, Depots, pfile20, 70, 50
IPC2002, TLPlan, Depots, pfile21, 34, 20
IPC2002, TLPlan, Depots, pfile22, 100, 110
IPC2002, VHPOP, Depots, pfile1, 10, 90
IPC2002, VHPOP, Depots, pfile2, 15, 59310
IPC2002, VHPOP, Depots, pfile7, 25, 159300
IPC2002, VHPOP, Depots, upfile1, 111, 230
IPC2002, VHPOP, Depots, upfile2, 200, 530
IPC2002, VHPOP, Depots, upfile3, 330, 1310
IPC2002, VHPOP, Depots, upfile4, 421, 1810
IPC2002, VHPOP, Depots, upfile5, 509, 3040
IPC2002, VHPOP, Depots, upfile6, 784, 5900
IPC2002, VHPOP, Depots, upfile7, 221, 560
IPC2002, VHPOP, Depots, upfile8, 211, 470
IPC2002, VHPOP, Depots, upfile9, 200, 410
IPC2002, VHPOP, Depots, upfile10, 187, 230
IPC2002, VHPOP, Depots, upfile11, 270, 1040
IPC2002, VHPOP, Depots, upfile12, 358, 1650
IPC2002, VHPOP, Depots, upfile13, 302, 710
IPC2002, VHPOP, Depots, upfile14, 392, 1730
IPC2002, VHPOP, Depots, upfile15, 498, 2910
IPC2002, VHPOP, Depots, upfile16, 688, 5970
IPC2002, VHPOP, Depots, upfile17, 584, 4370
IPC2002, VHPOP, Depots, upfile18, 1094, 22560
IPC2002, VHPOP, Depots, upfile19, 416, 1930
IPC2002, VHPOP, Depots, upfile20, 520, 2320
IPC2002, VHPOP, Depots, upfile21, 772, 5490
IPC2002, VHPOP, Depots, upfile22, 1069, 11190
IPC2002, VHPOP, Depots, upfile1, 109, 60
IPC2002, VHPOP, Depots, upfile2, 189, 80
IPC2002, VHPOP, Depots, upfile3, 276, 60
IPC2002, VHPOP, Depots, upfile4, 365, 100
IPC2002, VHPOP, Depots, upfile5, 456, 110
IPC2002, VHPOP, Depots, upfile6, 708, 190
IPC2002, VHPOP, Depots, upfile7, 216, 60
IPC2002, VHPOP, Depots, upfile8, 196, 40
IPC2002, VHPOP, Depots, upfile9, 206, 60
IPC2002, VHPOP, Depots, upfile10, 172, 40
IPC2002, VHPOP, Depots, upfile11, 270, 40
IPC2002, VHPOP, Depots, upfile12, 371, 70
IPC2002, VHPOP, Depots, upfile13, 256, 50
IPC2002, VHPOP, Depots, upfile14, 352, 60
IPC2002, VHPOP, Depots, upfile15, 447, 130
IPC2002, VHPOP, Depots, upfile16, 405, 80
IPC2002, VHPOP, Depots, upfile17, 431, 80
IPC2002, VHPOP, Depots, upfile18, 501, 120
IPC2002, VHPOP, Depots, upfile19, 400, 80
IPC2002, VHPOP, Depots, upfile20, 455, 120
IPC2002, VHPOP, Depots, upfile21, 719, 180
IPC2002, VHPOP, Depots, upfile22, 934, 330
IPC2002, VHPOP, Depots, upfile1, 98, 110
IPC2002, VHPOP, Depots, upfile2, 173, 290
IPC2002, VHPOP, Depots, upfile3, 299, 600
IPC2002, VHPOP, Depots, upfile4, 423, 940
IPC2002, VHPOP, Depots, upfile5, 599, 1710
IPC2002, VHPOP, Depots, upfile6, 993, 3920
IPC2002, VHPOP, Depots, upfile7, 216, 300
IPC2002, VHPOP, Depots, upfile8, 230, 360
IPC2002, VHPOP, Depots, upfile9, 208, 190
IPC2002, VHPOP, Depots, upfile10, 244, 110
IPC2002, VHPOP, Depots, upfile11, 409, 270
IPC2002, VHPOP, Depots, upfile12, 601, 520
IPC2002, VHPOP, Depots, upfile13, 348, 300
IPC2002, VHPOP, Depots, upfile14, 552, 620
IPC2002, VHPOP, Depots, upfile15, 866, 1190
IPC2002, VHPOP, Depots, upfile16, 335, 270
IPC2002, VHPOP, Depots, upfile17, 431, 350
IPC2002, VHPOP, Depots, upfile18, 588, 730
IPC2002, VHPOP, Depots, upfile19, 397, 1500
IPC2002, VHPOP, Depots, upfile20, 549, 2200
IPC2002, VHPOP, Depots, upfile21, 917, 4890
IPC2002, VHPOP, Depots, upfile22, 1393, 9750
IPC2002, FF.quality, DriverLog, pfile1, 8, 230
IPC2002, FF.quality, DriverLog, pfile2, 21, 30
IPC2002, FF.quality, DriverLog, pfile3, 12, 60
IPC2002, FF.quality, DriverLog, pfile4, 17, 220
IPC2002, FF.quality, DriverLog, pfile5, 20, 10
IPC2002, FF.quality, DriverLog, pfile6, 13, 230
IPC2002, FF.quality, DriverLog, pfile7, 14, 60
IPC2002, FF.quality, DriverLog, pfile8, 23, 160
IPC2002, FF.quality, DriverLog, pfile9, 29, 260
IPC2002, FF.quality, DriverLog, pfile10, 18, 160
IPC2002, FF.quality, DriverLog, pfile11, 30, 440
IPC2002, FF.quality, DriverLog, pfile12, 59, 1480
IPC2002, FF.quality, DriverLog, pfile13, 36, 1080
IPC2002, FF.quality, DriverLog, pfile14, 37, 620
IPC2002, FF.quality, DriverLog, pfile15, 48, 40640
IPC2002, FF.speed, DriverLog, pfile1, 8, 10
IPC2002, FF.speed, DriverLog, pfile2, 22, 10
IPC2002, FF.speed, DriverLog, pfile3, 12, 10
IPC2002, FF.speed, DriverLog, pfile4, 16, 10
IPC2002, FF.speed, DriverLog, pfile5, 22, 10
IPC2002, FF.speed, DriverLog, pfile6, 13, 20
IPC2002, FF.speed, DriverLog, pfile7, 17, 10
IPC2002, FF.speed, DriverLog, pfile8, 23, 20
IPC2002, FF.speed, DriverLog, pfile9, 31, 30
IPC2002, FF.speed, DriverLog, pfile10, 20, 10
IPC2002, FF.speed, DriverLog, pfile11, 25, 10
IPC2002, FF.speed, DriverLog, pfile12, 52, 550
IPC2002, FF.speed, DriverLog, pfile13, 36, 220
IPC2002, FF.speed, DriverLog, pfile14, 38, 320
IPC2002, FF.speed, DriverLog, pfile15, 48, 110
IPC2002, LPG, DriverLog, pfile1, 7, 20
IPC2002, LPG, DriverLog, pfile2, 21, 90
IPC2002, LPG, DriverLog, pfile3, 12, 10
IPC2002, LPG, DriverLog, pfile4, 16, 1590
IPC2002, LPG, DriverLog, pfile5, 19, 30
IPC2002, LPG, DriverLog, pfile6, 17, 40
IPC2002, LPG, DriverLog, pfile7, 13, 20
IPC2002, LPG, DriverLog, pfile8, 23, 40
IPC2002, LPG, DriverLog, pfile9, 23, 840
IPC2002, LPG, DriverLog, pfile10, 17, 40
IPC2002, LPG, DriverLog, pfile11, 23, 100
IPC2002, LPG, DriverLog, pfile12, 58, 3890
IPC2002, LPG, DriverLog, pfile13, 28, 9150
IPC2002, LPG, DriverLog, pfile14, 29, 12410
IPC2002, LPG, DriverLog, pfile15, 43, 2490
IPC2002, LPG, DriverLog, pfile17, 110, 2320
IPC2002, LPG, DriverLog, pfile18, 149, 3680
IPC2002, LPG, DriverLog, pfile20, 229, 86600
IPC2002, LPG.quality, DriverLog, pfile1, 7, 20
IPC2002, LPG.quality, DriverLog, pfile2, 20, 36140
IPC2002, LPG.quality, DriverLog, pfile3, 12, 10
IPC2002, LPG.quality, DriverLog, pfile4, 16, 1590
IPC2002, LPG.quality, DriverLog, pfile5, 18, 30110
IPC2002, LPG.quality, DriverLog, pfile6, 17, 40
IPC2002, LPG.quality, DriverLog, pfile7, 13, 20
IPC2002, LPG.quality, DriverLog, pfile8, 22, 1050
IPC2002, LPG.quality, DriverLog, pfile9, 23, 840
IPC2002, LPG.quality, DriverLog, pfile10, 17, 40
IPC2002, LPG.quality, DriverLog, pfile11, 21, 8320
IPC2002, LPG.quality, DriverLog, pfile12, 52, 176080
IPC2002, LPG.quality, DriverLog, pfile13, 28, 9150
IPC2002, LPG.quality, DriverLog, pfile14, 29, 12410
IPC2002, LPG.quality, DriverLog, pfile15, 43, 2490
IPC2002, LPG.quality, DriverLog, pfile17, 102, 3240
IPC2002, LPG.quality, DriverLog, pfile18, 149, 3680
IPC2002, LPG.quality, DriverLog, pfile20, 229, 86600
IPC2002, LPG.speed, DriverLog, pfile1, 8, 10
