com,domain,planner,cdkey,akey,gn,pkey,fkey,solved,steps,time
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-LPG.quality-depotprob1935,1,27,4180
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-LPG.quality-depotprob6512,1,30,8630
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-LPG.quality-depotprob1212,1,46,357080
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-LPG.quality-depotprob1234,1,21,380
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-LPG.quality-depotprob4321,1,35,164160
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-LPG.quality-depotprob5451,1,74,95290
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-LPG.quality-depotprob18180,1,24,1170
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-LPG.quality-depotprob18181,1,48,174470
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18182,IPC2002-Depots-depotprob18182,IPC2002-Depots-LPG.quality-depotprob18182,1,77,117900
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-LPG.quality-depotprob18183,1,25,140
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18184,IPC2002-Depots-depotprob18184,IPC2002-Depots-LPG.quality-depotprob18184,1,31,121390
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18185,IPC2002-Depots-depotprob18185,IPC2002-Depots-LPG.quality-depotprob18185,1,72,12050
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-LPG.quality-depotprob18186,1,25,70520
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18187,IPC2002-Depots-depotprob18187,IPC2002-Depots-LPG.quality-depotprob18187,1,23,71910
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18188,IPC2002-Depots-depotprob18188,IPC2002-Depots-LPG.quality-depotprob18188,1,100,66280
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob18189,IPC2002-Depots-depotprob18189,IPC2002-Depots-LPG.quality-depotprob18189,1,42,2170
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob75120,IPC2002-Depots-depotprob75120,IPC2002-Depots-LPG.quality-depotprob75120,1,82,78370
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob75121,IPC2002-Depots-depotprob75121,IPC2002-Depots-LPG.quality-depotprob75121,1,34,5850
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob75122,IPC2002-Depots-depotprob75122,IPC2002-Depots-LPG.quality-depotprob75122,1,114,396710
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-LPG.speed-depotprob1818,1,10,20
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-LPG.speed-depotprob7512,1,16,30
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-LPG.speed-depotprob1935,1,28,60
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-LPG.speed-depotprob6512,1,31,250
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-LPG.speed-depotprob1212,1,85,4340
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-LPG.speed-depotprob1234,1,26,60
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-LPG.speed-depotprob4321,1,43,720
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-LPG.speed-depotprob5451,1,84,3180
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-LPG.speed-depotprob18180,1,28,90
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-LPG.speed-depotprob18181,1,57,1630
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18182,IPC2002-Depots-depotprob18182,IPC2002-Depots-LPG.speed-depotprob18182,1,126,53800
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-LPG.speed-depotprob18183,1,25,140
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18184,IPC2002-Depots-depotprob18184,IPC2002-Depots-LPG.speed-depotprob18184,1,34,520
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18185,IPC2002-Depots-depotprob18185,IPC2002-Depots-LPG.speed-depotprob18185,1,90,5450
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-LPG.speed-depotprob18186,1,26,180
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18187,IPC2002-Depots-depotprob18187,IPC2002-Depots-LPG.speed-depotprob18187,1,28,510
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18188,IPC2002-Depots-depotprob18188,IPC2002-Depots-LPG.speed-depotprob18188,1,122,23740
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob18189,IPC2002-Depots-depotprob18189,IPC2002-Depots-LPG.speed-depotprob18189,1,49,750
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob75120,IPC2002-Depots-depotprob75120,IPC2002-Depots-LPG.speed-depotprob75120,1,145,23820
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob75121,IPC2002-Depots-depotprob75121,IPC2002-Depots-LPG.speed-depotprob75121,1,36,2600
IPC2002,Depots,LPG.speed,IPC2002-Depots,IPC2002-Depots-LPG.speed,depotprob75122,IPC2002-Depots-depotprob75122,IPC2002-Depots-LPG.speed-depotprob75122,1,127,81250
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-MIPS-depotprob1818,1,13,270
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-MIPS-depotprob7512,1,16,330
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-MIPS-depotprob1935,1,34,1310
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-MIPS-depotprob6512,1,35,59780
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-MIPS-depotprob1212,1,57,109230
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-MIPS-depotprob1234,1,23,770
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-MIPS-depotprob4321,1,48,1750000
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-MIPS-depotprob18180,1,34,107730
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-MIPS-depotprob18183,1,25,200000
IPC2002,Depots,MIPS,IPC2002-Depots,IPC2002-Depots-MIPS,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-MIPS-depotprob18186,1,32,250319
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-MIPS.plain-depotprob1818,1,13,270
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-MIPS.plain-depotprob7512,1,16,330
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-MIPS.plain-depotprob1935,1,34,1310
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-MIPS.plain-depotprob6512,1,35,59780
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-MIPS.plain-depotprob1212,1,57,109230
