competition, planner, domain, pn, steps, time
IPC2002, SHOP2.quality, Depots, depotprob18180, 30, 2690
IPC2002, SHOP2.quality, Depots, depotprob18181, 47, 3440
IPC2002, SHOP2.quality, Depots, depotprob18182, 78, 100000
IPC2002, SHOP2.quality, Depots, depotprob18183, 27, 70
IPC2002, SHOP2.quality, Depots, depotprob18184, 36, 100000
IPC2002, SHOP2.quality, Depots, depotprob18185, 66, 100000
IPC2002, SHOP2.quality, Depots, depotprob18186, 30, 100000
IPC2002, SHOP2.quality, Depots, depotprob18187, 32, 100000
IPC2002, SHOP2.quality, Depots, depotprob18188, 78, 100000
IPC2002, SHOP2.quality, Depots, depotprob18189, 39, 100000
IPC2002, SHOP2.quality, Depots, depotprob75120, 75, 100000
IPC2002, SHOP2.quality, Depots, depotprob75121, 34, 100000
IPC2002, SHOP2.quality, Depots, depotprob75122, 99, 100000
IPC2002, SemSyn, Depots, depotprob1818, 10, 451
IPC2002, SemSyn, Depots, depotprob7512, 15, 105798
IPC2002, Simplanner, Depots, depotprob1818, 11, 0
IPC2002, Simplanner, Depots, depotprob7512, 16, 9
IPC2002, Simplanner, Depots, depotprob1935, 31, 159
IPC2002, Simplanner, Depots, depotprob6512, 52, 110
IPC2002, Simplanner, Depots, depotprob1212, 196, 3220
IPC2002, Simplanner, Depots, depotprob5656, 92, 2829
IPC2002, Simplanner, Depots, depotprob1234, 27, 90
IPC2002, Simplanner, Depots, depotprob4321, 47, 370
IPC2002, Simplanner, Depots, depotprob5451, 187, 8889
IPC2002, Simplanner, Depots, depotprob18180, 26, 129
IPC2002, Simplanner, Depots, depotprob18181, 80, 1980
IPC2002, Simplanner, Depots, depotprob18182, 140, 22870
IPC2002, Simplanner, Depots, depotprob18183, 28, 160
IPC2002, Simplanner, Depots, depotprob18184, 50, 859
IPC2002, Simplanner, Depots, depotprob18185, 99, 42059
IPC2002, Simplanner, Depots, depotprob18186, 38, 250
IPC2002, Simplanner, Depots, depotprob18187, 31, 1819
IPC2002, Simplanner, Depots, depotprob18188, 112, 39850
IPC2002, Simplanner, Depots, depotprob18189, 47, 1179
IPC2002, Simplanner, Depots, depotprob75120, 101, 34280
IPC2002, Simplanner, Depots, depotprob75121, 37, 16490
IPC2002, Simplanner, Depots, depotprob75122, 141, 535179
IPC2002, Stella, Depots, depotprob1818, 11, 539
IPC2002, Stella, Depots, depotprob7512, 16, 970
IPC2002, Stella, Depots, depotprob1935, 33, 2430
IPC2002, Stella, Depots, depotprob18183, 30, 4010
IPC2002, TALPlanner, Depots, depotprob1818, 11, 50
IPC2002, TALPlanner, Depots, depotprob7512, 16, 30
IPC2002, TALPlanner, Depots, depotprob1935, 29, 50
IPC2002, TALPlanner, Depots, depotprob6512, 32, 40
IPC2002, TALPlanner, Depots, depotprob1212, 49, 70
