Planner,Dom,Problem,Time,Steps,comp
stan,mprime,strips-mprime-x-11,7005,17,IPC1998
blackbox,mprime,strips-mprime-x-12,2329,10,IPC1998
hsp,mprime,strips-mprime-x-12,51017,10,IPC1998
ipp,mprime,strips-mprime-x-12,8670,9,IPC1998
blackbox,mprime,strips-mprime-x-16,5214,11,IPC1998
hsp,mprime,strips-mprime-x-16,207350,13,IPC1998
blackbox,mprime,strips-mprime-x-17,7141,4,IPC1998
hsp,mprime,strips-mprime-x-17,608495,4,IPC1998
blackbox,mprime,strips-mprime-x-2,6470,9,IPC1998
hsp,mprime,strips-mprime-x-2,110100,12,IPC1998
ipp,mprime,strips-mprime-x-2,21910,9,IPC1998
stan,mprime,strips-mprime-x-2,2839,13,IPC1998
stan,mprime,strips-mprime-x-21,1063,7,IPC1998
blackbox,mprime,strips-mprime-x-25,145,4,IPC1998
hsp,mprime,strips-mprime-x-25,2505,4,IPC1998
ipp,mprime,strips-mprime-x-25,1400,4,IPC1998
stan,mprime,strips-mprime-x-25,276,6,IPC1998
blackbox,mprime,strips-mprime-x-26,3211,8,IPC1998
hsp,mprime,strips-mprime-x-26,23945,8,IPC1998
ipp,mprime,strips-mprime-x-26,19230,7,IPC1998
blackbox,mprime,strips-mprime-x-27,3195,8,IPC1998
hsp,mprime,strips-mprime-x-27,67421,8,IPC1998
blackbox,mprime,strips-mprime-x-28,1981,11,IPC1998
hsp,mprime,strips-mprime-x-28,79684,7,IPC1998
ipp,mprime,strips-mprime-x-28,6950,10,IPC1998
stan,mprime,strips-mprime-x-28,2957,14,IPC1998
blackbox,mprime,strips-mprime-x-29,2272,5,IPC1998
hsp,mprime,strips-mprime-x-29,24073,6,IPC1998
stan,mprime,strips-mprime-x-29,13495,7,IPC1998
blackbox,mprime,strips-mprime-x-3,882,4,IPC1998
hsp,mprime,strips-mprime-x-3,5629,4,IPC1998
ipp,mprime,strips-mprime-x-3,6320,5,IPC1998
stan,mprime,strips-mprime-x-3,10195,6,IPC1998
blackbox,mprime,strips-mprime-x-4,836,9,IPC1998
hsp,mprime,strips-mprime-x-4,3191,10,IPC1998
ipp,mprime,strips-mprime-x-4,3720,12,IPC1998
ipp,mprime,strips-mprime-x-5,10420,11,IPC1998
stan,mprime,strips-mprime-x-5,1289,15,IPC1998
ipp,mprime,strips-mprime-x-7,5240,5,IPC1998
stan,mprime,strips-mprime-x-7,1345,6,IPC1998
blackbox,mprime,strips-mprime-x-8,2843,7,IPC1998
hsp,mprime,strips-mprime-x-8,23830,7,IPC1998
ipp,mprime,strips-mprime-x-8,31990,10,IPC1998
blackbox,mprime,strips-mprime-x-9,1890,8,IPC1998
hsp,mprime,strips-mprime-x-9,9352,8,IPC1998
ipp,mprime,strips-mprime-x-9,7300,9,IPC1998
stan,mprime,strips-mprime-x-9,2047,16,IPC1998
blackbox,mystery,strips-mysty-x-1,111,5,IPC1998
