"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"231","IPC2000","blackbox","blocks","BLOCKS-5-1",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"232","IPC2000","blackbox","blocks","BLOCKS-8-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"233","IPC2000","blackbox","blocks","BLOCKS-5-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"236","IPC2000","blackbox","blocks","BLOCKS-9-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"237","IPC2000","blackbox","blocks","BLOCKS-8-1",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"238","IPC2000","blackbox","blocks","BLOCKS-8-2",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"239","IPC2000","blackbox","blocks","BLOCKS-9-1",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"240","IPC2000","blackbox","blocks","BLOCKS-9-2",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"346","IPC2000","bddplan","schedule","schedule-2-1",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"358","IPC2000","bddplan","schedule","schedule-2-0",2,"D","Time","D^-9vTime^-3",0.761336636088291,0
"377","IPC2000","bddplan","schedule","schedule-2-2",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"451","IPC2000","bddplan","schedule","schedule-3-0",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"466","IPC2000","bddplan","schedule","schedule-3-2",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"477","IPC2000","bddplan","schedule","schedule-3-1",1,"D","Time","D^-9vTime^-3",0.761336636088291,0
"557","IPC2000","bddplan","schedule","schedule-4-0",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"572","IPC2000","bddplan","schedule","schedule-4-1",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"576","IPC2000","bddplan","schedule","schedule-4-2",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"670","IPC2000","bddplan","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"682","IPC2000","bddplan","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"697","IPC2000","bddplan","schedule","schedule-6-0",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"698","IPC2000","bddplan","schedule","schedule-6-2",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"704","IPC2000","bddplan","schedule","schedule-6-1",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"706","IPC2000","bddplan","schedule","schedule-5-2",0,"D","Time","D^-9vTime^-3",0.761336636088291,0
"846","IPC2000","propplan","schedule","schedule-2-1",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"858","IPC2000","propplan","schedule","schedule-2-0",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
