"","pkey","com","dom","gn","solvedg","minSteps","graph","complete","gl","fap","parallel","GClass"
"112","IPC1998-mprime-strips-mprime-x-5","IPC1998","mprime","strips-mprime-x-5",1,11,0,0,0,0,1,"SNG"
"113","IPC1998-mprime-strips-mprime-x-6","IPC1998","mprime","strips-mprime-x-6",0,Inf,1,0,9,8,1,"NSG"
"114","IPC1998-mprime-strips-mprime-x-7","IPC1998","mprime","strips-mprime-x-7",1,5,0,0,0,0,1,"SNG"
"115","IPC1998-mprime-strips-mprime-x-8","IPC1998","mprime","strips-mprime-x-8",1,7,1,1,5,5,1,"SGCP"
"116","IPC1998-mprime-strips-mprime-x-9","IPC1998","mprime","strips-mprime-x-9",1,8,1,1,5,5,1,"SGCP"
"117","IPC1998-mprime-strips-mprime-y-1","IPC1998","mprime","strips-mprime-y-1",0,Inf,1,1,4,4,1,"NSG"
"118","IPC1998-mprime-strips-mprime-y-2","IPC1998","mprime","strips-mprime-y-2",0,Inf,1,1,7,7,1,"NSG"
"119","IPC1998-mprime-strips-mprime-y-3","IPC1998","mprime","strips-mprime-y-3",0,Inf,1,1,10,10,1,"NSG"
"120","IPC1998-mprime-strips-mprime-y-4","IPC1998","mprime","strips-mprime-y-4",0,Inf,1,1,4,4,1,"NSG"
"121","IPC1998-mprime-strips-mprime-y-5","IPC1998","mprime","strips-mprime-y-5",0,Inf,1,1,4,4,1,"NSG"
"122","IPC1998-mystery-strips-mysty-x-1","IPC1998","mystery","strips-mysty-x-1",1,5,1,1,5,5,0,"SGCNP"
"123","IPC1998-mystery-strips-mysty-x-10","IPC1998","mystery","strips-mysty-x-10",1,8,0,0,0,0,1,"SNG"
"124","IPC1998-mystery-strips-mysty-x-11","IPC1998","mystery","strips-mysty-x-11",1,7,1,1,7,7,0,"SGCNP"
"125","IPC1998-mystery-strips-mysty-x-12","IPC1998","mystery","strips-mysty-x-12",0,Inf,0,0,0,0,1,"NSNG"
"126","IPC1998-mystery-strips-mysty-x-13","IPC1998","mystery","strips-mysty-x-13",1,16,1,1,8,8,1,"SGCP"
"127","IPC1998-mystery-strips-mysty-x-14","IPC1998","mystery","strips-mysty-x-14",0,Inf,0,0,0,0,1,"NSNG"
"128","IPC1998-mystery-strips-mysty-x-15","IPC1998","mystery","strips-mysty-x-15",0,Inf,1,1,6,6,1,"NSG"
"129","IPC1998-mystery-strips-mysty-x-16","IPC1998","mystery","strips-mysty-x-16",0,Inf,0,0,0,0,1,"NSNG"
"130","IPC1998-mystery-strips-mysty-x-17","IPC1998","mystery","strips-mysty-x-17",1,4,1,1,4,4,0,"SGCNP"
"131","IPC1998-mystery-strips-mysty-x-18","IPC1998","mystery","strips-mysty-x-18",0,Inf,0,0,0,0,1,"NSNG"
"132","IPC1998-mystery-strips-mysty-x-19","IPC1998","mystery","strips-mysty-x-19",1,8,1,1,6,6,1,"SGCP"
"133","IPC1998-mystery-strips-mysty-x-2","IPC1998","mystery","strips-mysty-x-2",1,9,1,1,5,5,1,"SGCP"
"134","IPC1998-mystery-strips-mysty-x-20","IPC1998","mystery","strips-mysty-x-20",0,Inf,1,1,7,7,1,"NSG"
"135","IPC1998-mystery-strips-mysty-x-21","IPC1998","mystery","strips-mysty-x-21",0,Inf,0,0,0,0,1,"NSNG"
"136","IPC1998-mystery-strips-mysty-x-22","IPC1998","mystery","strips-mysty-x-22",0,Inf,0,0,0,0,1,"NSNG"
"137","IPC1998-mystery-strips-mysty-x-23","IPC1998","mystery","strips-mysty-x-23",0,Inf,0,0,0,0,1,"NSNG"
"138","IPC1998-mystery-strips-mysty-x-24","IPC1998","mystery","strips-mysty-x-24",0,Inf,0,0,0,0,1,"NSNG"
"139","IPC1998-mystery-strips-mysty-x-25","IPC1998","mystery","strips-mysty-x-25",1,4,1,1,4,4,0,"SGCNP"
"140","IPC1998-mystery-strips-mysty-x-26","IPC1998","mystery","strips-mysty-x-26",1,6,1,1,6,6,0,"SGCNP"
"141","IPC1998-mystery-strips-mysty-x-27","IPC1998","mystery","strips-mysty-x-27",1,5,1,1,4,4,1,"SGCP"
"142","IPC1998-mystery-strips-mysty-x-28","IPC1998","mystery","strips-mysty-x-28",1,7,1,1,7,6,0,"SGCNP"
"143","IPC1998-mystery-strips-mysty-x-29","IPC1998","mystery","strips-mysty-x-29",1,4,1,1,4,4,0,"SGCNP"
"144","IPC1998-mystery-strips-mysty-x-3","IPC1998","mystery","strips-mysty-x-3",1,4,1,1,4,4,0,"SGCNP"
"145","IPC1998-mystery-strips-mysty-x-30","IPC1998","mystery","strips-mysty-x-30",1,12,1,1,6,6,1,"SGCP"
