com,dom,gn,fap,pl,gl
IPC1998,mystery,strips-mysty-x-29,4,4,4
IPC1998,mystery,strips-mysty-x-3,4,4,4
IPC1998,mystery,strips-mysty-x-30,6,12,6
IPC1998,mystery,strips-mysty-x-4,0,0,0
IPC1998,mystery,strips-mysty-x-5,0,0,0
IPC1998,mystery,strips-mysty-x-6,9,17,9
IPC1998,mystery,strips-mysty-x-7,0,0,0
IPC1998,mystery,strips-mysty-x-8,0,0,0
IPC1998,mystery,strips-mysty-x-9,5,8,5
IPC2000,blocks,BLOCKS-10-0,20,34,34
IPC2000,blocks,BLOCKS-10-1,16,32,32
IPC2000,blocks,BLOCKS-10-2,20,34,34
IPC2000,blocks,BLOCKS-11-0,16,32,32
IPC2000,blocks,BLOCKS-11-1,9,0,29
IPC2000,blocks,BLOCKS-11-2,18,34,34
IPC2000,blocks,BLOCKS-12-0,20,34,34
IPC2000,blocks,BLOCKS-12-1,22,34,34
IPC2000,blocks,BLOCKS-13-0,22,0,42
IPC2000,blocks,BLOCKS-13-1,24,0,43
IPC2000,blocks,BLOCKS-14-0,20,0,37
IPC2000,blocks,BLOCKS-14-1,12,0,31
IPC2000,blocks,BLOCKS-15-0,14,0,32
IPC2000,blocks,BLOCKS-15-1,28,0,48
IPC2000,blocks,BLOCKS-16-1,26,0,46
IPC2000,blocks,BLOCKS-16-2,30,0,47
IPC2000,blocks,BLOCKS-17-0,14,0,33
IPC2000,blocks,BLOCKS-17-1,26,0,46
IPC2000,blocks,BLOCKS-18-0,24,0,41
IPC2000,blocks,BLOCKS-18-1,30,0,47
IPC2000,blocks,BLOCKS-19-0,36,0,53
IPC2000,blocks,BLOCKS-19-1,30,0,47
IPC2000,blocks,BLOCKS-20-0,34,0,49
IPC2000,blocks,BLOCKS-20-1,38,0,53
IPC2000,blocks,BLOCKS-21-0,42,0,58
IPC2000,blocks,BLOCKS-21-1,40,0,54
IPC2000,blocks,BLOCKS-22-0,24,0,40
IPC2000,blocks,BLOCKS-22-1,30,0,45
IPC2000,blocks,BLOCKS-23-0,32,0,47
IPC2000,blocks,BLOCKS-23-1,26,0,40
IPC2000,blocks,BLOCKS-24-0,20,0,35
IPC2000,blocks,BLOCKS-24-1,30,0,43
IPC2000,blocks,BLOCKS-25-0,32,0,47
IPC2000,blocks,BLOCKS-25-1,42,0,57
IPC2000,blocks,BLOCKS-26-0,26,0,41
IPC2000,blocks,BLOCKS-26-1,36,0,49
IPC2000,blocks,BLOCKS-27-0,18,0,32
IPC2000,blocks,BLOCKS-27-1,44,0,59
IPC2000,blocks,BLOCKS-28-0,26,0,39
IPC2000,blocks,BLOCKS-28-1,30,0,44
IPC2000,blocks,BLOCKS-29-0,24,0,37
IPC2000,blocks,BLOCKS-29-1,58,0,71
IPC2000,blocks,BLOCKS-30-0,20,0,33
IPC2000,blocks,BLOCKS-30-1,32,0,45
IPC2000,blocks,BLOCKS-31-0,40,0,53
IPC2000,blocks,BLOCKS-31-1,42,0,55
IPC2000,blocks,BLOCKS-32-0,24,0,36
