Planner,P2,Problem,Time,# Steps
yrefanid,GRT,mixed-f48-p24-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10.58,83
yrefanid,GRT,mixed-f48-p24-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,10.62,83
yrefanid,GRT,mixed-f48-p24-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,10.69,83
yrefanid,GRT,mixed-f48-p24-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,11.15,86
yrefanid,GRT,mixed-f50-p25-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,12.52,88
yrefanid,GRT,mixed-f50-p25-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,11.94,90
yrefanid,GRT,mixed-f50-p25-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,12.93,86
yrefanid,GRT,mixed-f50-p25-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,12.13,89
yrefanid,GRT,mixed-f50-p25-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,12.33,90
yrefanid,GRT,mixed-f52-p26-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,14.39,89
yrefanid,GRT,mixed-f52-p26-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,13.53,88
yrefanid,GRT,mixed-f52-p26-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,14.08,93
yrefanid,GRT,mixed-f52-p26-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,15.45,92
yrefanid,GRT,mixed-f52-p26-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,14.42,89
yrefanid,GRT,mixed-f54-p27-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,15.92,95
yrefanid,GRT,mixed-f54-p27-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,15.59,95
yrefanid,GRT,mixed-f54-p27-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,16.9,96
yrefanid,GRT,mixed-f54-p27-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,16.84,93
yrefanid,GRT,mixed-f54-p27-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,16.28,95
yrefanid,GRT,mixed-f56-p28-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,19.69,98
yrefanid,GRT,mixed-f56-p28-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,18.53,97
yrefanid,GRT,mixed-f56-p28-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,19.4,100
yrefanid,GRT,mixed-f56-p28-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,19.65,93
yrefanid,GRT,mixed-f56-p28-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,19.51,98
yrefanid,GRT,mixed-f58-p29-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,22.74,98
yrefanid,GRT,mixed-f58-p29-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,22.11,99
yrefanid,GRT,mixed-f58-p29-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,23.16,104
yrefanid,GRT,mixed-f58-p29-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,21.47,107
