"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"270","IPC1998","hsp","movie","strips-movie-x-25",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"271","IPC1998","ipp","movie","strips-movie-x-25",1,"D","Time","D^10vTime^-0.2",0.636947127143981,1.74259857376216
"272","IPC1998","blackbox","movie","strips-movie-x-25",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.148005814937164
"273","IPC1998","blackbox","movie","strips-movie-x-26",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.29323848985787
"274","IPC1998","stan","movie","strips-movie-x-26",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.637975152374466
"275","IPC1998","hsp","movie","strips-movie-x-26",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"276","IPC1998","ipp","movie","strips-movie-x-26",2,"D","Time","D^10vTime^-0.2",0.636947127143981,0.959822234606101
"277","IPC1998","stan","movie","strips-movie-x-27",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.372811771230232
"278","IPC1998","hsp","movie","strips-movie-x-27",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"279","IPC1998","blackbox","movie","strips-movie-x-27",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.200874895503198
"280","IPC1998","ipp","movie","strips-movie-x-27",2,"D","Time","D^10vTime^-0.2",0.636947127143981,8.75546311675317
"281","IPC1998","ipp","movie","strips-movie-x-28",1,"D","Time","D^10vTime^-0.2",0.636947127143981,0.0592888828520657
"282","IPC1998","blackbox","movie","strips-movie-x-28",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.467766133912164
"283","IPC1998","hsp","movie","strips-movie-x-28",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"284","IPC1998","stan","movie","strips-movie-x-28",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.978126764084003
"285","IPC1998","hsp","movie","strips-movie-x-29",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"286","IPC1998","stan","movie","strips-movie-x-29",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.00446883607161652
"287","IPC1998","ipp","movie","strips-movie-x-29",2,"D","Time","D^10vTime^-0.2",0.636947127143981,3.82356197332145
"288","IPC1998","blackbox","movie","strips-movie-x-29",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.0142903890504442
"289","IPC1998","ipp","movie","strips-movie-x-3",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"290","IPC1998","blackbox","movie","strips-movie-x-3",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"291","IPC1998","hsp","movie","strips-movie-x-3",2,"D","Time","D^10vTime^-0.2",0.911558852808667,2138.00515749681
"292","IPC1998","stan","movie","strips-movie-x-3",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.234961713009461
"293","IPC1998","hsp","movie","strips-movie-x-30",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"294","IPC1998","ipp","movie","strips-movie-x-30",1,"D","Time","D^10vTime^-0.2",0.636947127143981,6.12671460807202
"295","IPC1998","blackbox","movie","strips-movie-x-30",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"296","IPC1998","stan","movie","strips-movie-x-30",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"297","IPC1998","ipp","movie","strips-movie-x-4",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"298","IPC1998","stan","movie","strips-movie-x-4",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"299","IPC1998","blackbox","movie","strips-movie-x-4",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"300","IPC1998","hsp","movie","strips-movie-x-4",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"301","IPC1998","ipp","movie","strips-movie-x-5",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"302","IPC1998","stan","movie","strips-movie-x-5",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"303","IPC1998","blackbox","movie","strips-movie-x-5",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"304","IPC1998","hsp","movie","strips-movie-x-5",2,"D","Time","D^10vTime^-0.2",0.911558852808667,2202.00515749681
"305","IPC1998","hsp","movie","strips-movie-x-6",1,"D","Time","D^10vTime^-0.2",0.911558852808667,-2611.00515749681
"306","IPC1998","ipp","movie","strips-movie-x-6",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"307","IPC1998","stan","movie","strips-movie-x-6",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.111555475960245
"308","IPC1998","blackbox","movie","strips-movie-x-6",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"309","IPC1998","blackbox","movie","strips-movie-x-7",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"310","IPC1998","hsp","movie","strips-movie-x-7",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"311","IPC1998","stan","movie","strips-movie-x-7",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.0591827760184067
"312","IPC1998","ipp","movie","strips-movie-x-7",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"313","IPC1998","hsp","movie","strips-movie-x-8",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"314","IPC1998","stan","movie","strips-movie-x-8",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"315","IPC1998","blackbox","movie","strips-movie-x-8",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"316","IPC1998","ipp","movie","strips-movie-x-8",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"317","IPC1998","blackbox","movie","strips-movie-x-9",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"318","IPC1998","hsp","movie","strips-movie-x-9",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"319","IPC1998","stan","movie","strips-movie-x-9",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.394542181208578
"321","IPC1998","blackbox","mprime","strips-mprime-x-1",1,"D","Time","D^10vTime^-0.2",0.0916724559710548,13.3539523077095
"322","IPC1998","hsp","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.2",0.112969893421301,0
"323","IPC1998","ipp","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.2",0.997408568593072,0
"324","IPC1998","stan","mprime","strips-mprime-x-1",2,"D","Time","D^10vTime^-0.2",0.916635546123213,2445.98812766373
"329","IPC1998","ipp","mprime","strips-mprime-x-11",0,"D","Time","D^10vTime^-0.2",0.997408568593072,0
"330","IPC1998","hsp","mprime","strips-mprime-x-11",0,"D","Time","D^10vTime^-0.2",0.112969893421301,0
"331","IPC1998","blackbox","mprime","strips-mprime-x-11",0,"D","Time","D^10vTime^-0.2",0.0916724559710548,0
"332","IPC1998","stan","mprime","strips-mprime-x-11",0,"D","Time","D^10vTime^-0.2",0.916635546123213,0
"333","IPC1998","hsp","mprime","strips-mprime-x-12",0,"D","Time","D^10vTime^-0.2",0.112969893421301,0
"335","IPC1998","blackbox","mprime","strips-mprime-x-12",0,"D","Time","D^10vTime^-0.2",0.0916724559710548,0
"336","IPC1998","ipp","mprime","strips-mprime-x-12",0,"D","Time","D^10vTime^-0.2",0.997408568593072,0
